2020-01-21-23,"RT @BuzzFeedNews: The first case of the Chinese coronavirus has hit the US, CDC reports https://t.co/IKLhW3QjES"
2020-01-21-23,"RT @CNN: The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Diseas…"
2020-01-21-23,"RT @cnni: Soon, passengers from Wuhan to the US, on direct or indirect flights, will only be allowed to land at one of five US airports doi…"
2020-01-21-23,"RT @CNN: More than 100 staffers from the CDC are being deployed to three US airports to check passengers arriving from Wuhan, China, for fe…"
2020-01-21-23,RT @Pawleybaby1999: @JCPExpress @Nobodybutme17 @scouter12 @AmateurMmo @KBUSMC2 @RadioInfidelSho @B52mechanic @TheyCallMeDoc1 @swilleford2 @…
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,"RT @DemocratFed: Dr. Larry Palevsky states publicly &amp; in a legal affidavit the ""measles outbreak"" in #NewYork was never confirmed by the #C…"
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,"RT @MerlinofCanada: It's here folks
A traveller from #China has been diagnosed in Seattle with the new #coronavirus, a spokesperson from th…"
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,CDC announces first U.S. case of Chinese coronavirus https://t.co/2u7F1xZZYM
2020-01-21-23,1st confirmed case of new coronavirus reported in US: CDC https://t.co/FFxcjn9HCQ
2020-01-21-23,"RT @rey_atl: Virginia Democrats: As if threatening to take away your guns wasn't enough, word is, these totalitarians may be cooking up a b…"
2020-01-21-23,"RT @eugenegu: With the CDC confirming the first case of the Wuhan coronavirus here in the United States in Seattle, Washington, there are d…"
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,"RT @StephenPunwasi: 😬 😬 😬

Remember when Ford cut a billion dollars from Toronto's public health? 🤔

A good portion of that was infectious…"
2020-01-21-23,"Updated travel notice on travel to China from @CDCgov
 #nCoV #nCoV2019 #Wuhan

Novel Coronavirus in China - Alert - Level 2, Practice Enhanced Precautions - Travel Health Notices | Travelers' Health | CDC https://t.co/VTlJSG4M3f"
2020-01-21-23,"CDC W A R N I N G:
Wipe down the entire Amberland SR. All chairs tables and even door knobs. #Barfilonies #DehydratedMigranes #SAVEYourselfs https://t.co/rMLRZM8ef6"
2020-01-21-23,RT @CNN: The US Centers for Disease Control and Prevention is expected to announce this afternoon that the first case of Wuhan coronavirus…
2020-01-21-23,RT @ASavageNation: QUARANTINE!  STOP ALL TRAVELERS FROM CHINA FROM ENTERING THE U.S./ common-sense means to protect Americans!  CDC IS USEL…
2020-01-21-23,"RT @AnnCoulter: Oh for pete's sake!  The Supreme Court upheld your Muslim ban, @realDonaldTrump!  Would you please put a temporary travel b…"
2020-01-21-23,RT @ASavageNation: QUARANTINE!  STOP ALL TRAVELERS FROM CHINA FROM ENTERING THE U.S./ common-sense means to protect Americans!  CDC IS USEL…
2020-01-21-23,"RT @StocksUnhinged: $SPY $AAL $APT $EXPE  $GOOG $DAL $UAL $BA $LAKE $YUM $CMG $HUM $CI 

#CDC expected to announce first US case of #Wuhan…"
2020-01-21-23,"RT @trumptrain1111: BEWARE!

THE CHINA VIRUS HAS LANDED IN US!

CDC Confirms First U.S. Case of Deadly China Virus
#trumptrain1111 https://…"
2020-01-21-23,"RT @ABC7: #BREAKING NEWS: A U .S. citizen who recently returned from a trip to China has been diagnosed with coronavirus, making it the fir…"
2020-01-21-23,RT @Reuters: The U.S. Centers for Disease Control (CDC) confirmed it had diagnosed the first case of the newly-identified Wuhan coronavirus…
2020-01-21-23,"RT @nytimes: Breaking News: The first U.S. case of the Wuhan coronavirus has been confirmed in Washington State, federal officials said. Th…"
2020-01-21-23,RT @MatthewHilk: BREAKING from @CNN - CDC expected to announce first U.S. case of Wuhan Coronavirus this afternoon @cnnhealth
2020-01-21-23,RT @Reuters: The U.S. Centers for Disease Control (CDC) confirmed it had diagnosed the first case of the newly-identified Wuhan coronavirus…
2020-01-21-23,"RT @CNN: The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Diseas…"
2020-01-21-23,"Might want to consider a glass of water with dinner. The death rate has DOUBLED from alcohol-related deaths the last 20 years, especially in women 50 years &amp; older.  I interviewed a doc who says it's mostly from liver disease - drinking two drinks per day. https://t.co/dkr9py0rqT https://t.co/5vPefDdpRG"
2020-01-21-23,"RT @cnni: The United States has its first confirmed case of a new virus that appeared in Wuhan, China, last month, the US Centers for Disea…"
2020-01-21-23,RT @MatthewHilk: BREAKING from @CNN - CDC expected to announce first U.S. case of Wuhan Coronavirus this afternoon @cnnhealth
2020-01-21-23,This month's 5-second rule podcast covers outbreaks &amp; how patients &amp; restaurant-goers can report concerns to their local public health. Learn more on https://t.co/jv86wGoo0G or by listening to the podcast: https://t.co/pkJLrOr2iu #outbreaks #publichealth #washyourhands #APIC #IP https://t.co/QseAgaBrik
2020-01-21-23,"RT @no_silenced: JUST IN:  The first US case of the deadly Wuhan coronavirus, in Washington state, is expected to be announced later today…"
2020-01-21-23,"RT @nytimes: Breaking News: The first U.S. case of the Wuhan coronavirus has been confirmed in Washington State, federal officials said. Th…"
2020-01-21-23,"RT @cnnbrk: A man who lives in Snohomish County, Washington, is confirmed to have the first US case of Wuhan coronavirus https://t.co/Kmw7E…"
2020-01-21-23,"RT @menzie_chinn: Thank goodness the Trump administration proposed massive cuts to CDC! Even if stopped this time, there's always next (fis…"
2020-01-21-23,"RT @eugenegu: With the CDC confirming the first case of the Wuhan coronavirus here in the United States in Seattle, Washington, there are d…"
2020-01-21-23,RT @MatthewHilk: BREAKING from @CNN - CDC expected to announce first U.S. case of Wuhan Coronavirus this afternoon @cnnhealth
2020-01-21-23,"RT @trumptrain1111: BEWARE!

THE CHINA VIRUS HAS LANDED IN US!

CDC Confirms First U.S. Case of Deadly China Virus
#trumptrain1111 https://…"
2020-01-21-23,Avian Flu Diary: Coronavirus: CDC Elevates China Travel Advisory To Level 2 - Practice Enhanced Precautions https://t.co/nbt8JKI9SV #chinapneumonia #coronavirus #nCov2019
2020-01-21-23,RT @AmerMedicalAssn: Update on #coronavirus news: @CDCgov reports that a man in Washington state is the first U.S. patient to be diagnosed…
2020-01-21-23,"The CDC Banned ""Transgender,"" ""Fetus,"" and Other Words in a New Repressive Crackdown. #care2 https://t.co/mYVVbDDPDx"
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,RT @carlynharris: Had an incredible opportunity today to interview Dr. Arjun Srinivasan at the CDC about how medical students can engage in…
2020-01-21-23,"""CDC said they will begin screening passengers for the virus at two additional airports: the Hartsfield-Jackson Atlanta International Airport and Chicago's O'Hare International Airport. """
2020-01-21-23,"The CDC has confirmed the first United States case of coronavirus, a new illness that appeared in China last month and has infected about 300 people and killed six. https://t.co/nEiMSujKOE"
2020-01-21-23,"@1Ring3 @palmerc1975 @Nervardia @NotJahWitness The CDC has studied Gun Violence before, in 2013.
They also looked in to Defensive uses of firearms, and found that when you added up Active and Passive uses, you had between 500,000 and 2 Million uses every year."
2020-01-21-23,"RT @molratty: The statistics for accidental shootings are so low the CDC doesn't even have those numbers, but it reports accidental shootin…"
2020-01-21-23,RT @CDCgov: The first human infection with new #coronavirus (#2019-nCoV) has been reported in the US in a person who recently traveled to W…
2020-01-21-23,RT @ZhaoyinFeng: CDC to announce first US case of Chinese coronavirus
2020-01-21-23,"CDC confirms the first US case of coronavirus in Washington State it has killed 6 in China.

WHO and the CDC has confirmed cases in Australia, parts of Asia, Singapore Philippines, and Europe."
2020-01-21-23,RT @RepDebDingell: People are concerned about the potential health implications of the Wuhan coronavirus and it is important that CDC conti…
